"ResponseId"	"UserLanguage"	"Age"	"Sex"	"subjectLighting"	"rating"
"238"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O4"	6
"239"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O5"	6
"240"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O6"	6
"241"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A1"	7
"242"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A2"	7
"243"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A3"	7
"244"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A4"	7
"245"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A5"	7
"246"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"A6"	7
"247"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B1"	7
"248"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B2"	7
"249"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B3"	7
"250"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B4"	7
"251"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B5"	7
"252"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"B6"	7
"253"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D1"	7
"254"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D2"	7
"255"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D3"	7
"256"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D4"	7
"257"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D5"	7
"258"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"D6"	7
"259"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G1"	7
"260"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G2"	7
"261"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G3"	7
"262"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G4"	7
"263"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G5"	7
"264"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"G6"	7
"265"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H1"	7
"266"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H2"	7
"267"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H3"	7
"268"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H4"	7
"269"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H5"	7
"270"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"H6"	7
"271"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I1"	7
"272"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I2"	7
"273"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I3"	7
"274"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I4"	7
"275"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I5"	7
"276"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"I6"	7
"277"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J1"	10
"278"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J2"	10
"279"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J3"	10
"280"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J4"	10
"281"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J5"	10
"282"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"J6"	10
"283"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K1"	7
"284"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K2"	10
"285"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K3"	10
"286"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K4"	10
"287"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K5"	10
"288"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"K6"	10
"289"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N1"	7
"290"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N2"	7
"291"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N3"	10
"292"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N4"	7
"293"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N5"	10
"294"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"N6"	10
"295"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O1"	7
"296"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O2"	7
"297"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O3"	7
"298"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O4"	7
"299"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O5"	7
"300"	"R_3HztxfUfojAXTNT"	"EN"	"29"	"Male"	"O6"	7
"301"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A1"	5
"302"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A2"	5
"303"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A3"	5
"304"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A4"	4
"305"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A5"	4
"306"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"A6"	4
"307"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"B1"	6
"308"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"B2"	5
"309"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"B3"	6
"310"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"B4"	5
"311"	"R_1LcJ6mHuqeT3n9h"	"EN"	"35"	"Female"	"B5"	5
